"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"23525","LINC00377",-3.70764285650722,2.66423746544475,-25.5713880720442,1.24074654367778e-59,4.52202485308803e-55,125.107407022484
"34593","MMP11",5.63371233225116,10.8142975262692,24.5427483865572,2.81296846644105e-57,5.12607243639552e-53,119.76072896275
"19668","PAMR1",-3.9068728390158,9.84401405623607,-21.8437379903806,7.97314321892304e-51,9.68630592522897e-47,105.087513537671
"12617","COL10A1",6.55203354511759,8.60769074236308,21.5017923205204,5.59170031110011e-50,5.09487773845886e-46,103.161289081597
"35328","VEGFD",-5.77766776514595,7.71684451691349,-20.9556722624483,1.2936057323574e-48,9.42935090429958e-45,100.053637558259
"14548","CPA1",-4.54719841705278,4.22461737525475,-20.8245649939875,2.76527235172763e-48,1.49249167256031e-44,99.3018763588224
"6233","LRRC3B",-4.44813362794107,4.551257226964,-20.7991232699222,3.20531729793441e-48,1.49249167256031e-44,99.1557399432439
"29546","CA4",-6.65143696993422,6.41047602107685,-20.7953633193532,3.2760614005604e-48,1.49249167256031e-44,99.1341358863077
"16853","PGM5-AS1",-4.14415022789179,3.46977349350303,-20.6301607962616,8.56405359815938e-48,3.46806108265019e-44,98.1831252310833
"32325","HIF3A",-4.98307197525471,6.86485877489187,-20.5988315456749,1.02798935721887e-47,3.74661001131991e-44,98.0023810935838
"5434","CAVIN2",-4.59645323352864,10.3599769406661,-20.2671099903896,7.16115050156714e-47,2.37268446527378e-43,96.0809584964381
"29726","LINC01497",-3.74135677814152,2.69993189918502,-20.0250879903421,2.97684275499527e-46,9.04116758737981e-43,94.6703090612423
"8900","COL25A1",-3.54819422184806,6.51797274127511,-19.9702637566509,4.11489613638831e-46,1.15362695836006e-42,94.3497357650692
"8756","IBSP",5.18826497842905,3.35876151129966,19.7943019226455,1.16604007928685e-45,2.85001915915135e-42,93.3182902444977
"33970","ADAMTS5",-3.53202104786367,10.9011807523751,-19.7933018302539,1.17297611225567e-45,2.85001915915135e-42,93.312416880136
"29167","CD300LG",-6.4943444107354,8.54786986265725,-19.7547141543067,1.47472253167482e-45,3.35923358683879e-42,93.0857030461131
"17834","ITIH5",-4.42809745930683,11.5797700013938,-19.5582463353357,4.74383558542756e-45,1.01702253968525e-41,91.9285244713464
"26614","PKMYT1",4.16044668553742,7.30790818725136,19.5075923849541,6.41628543135835e-45,1.29915521572937e-41,91.6294009871167
"35429","DMD",-3.82804305964068,10.9123640792815,-19.4177191298611,1.0972768104298e-44,2.10480792804866e-41,91.0978985990926
"20256","MRGPRF-AS1",-3.04732164717321,2.47627381196208,-19.311088881916,2.0765658943949e-44,3.63973299874267e-41,90.4660075703334
"9058","LINC02511",-4.3678491537801,4.10852995490813,-19.3094381856615,2.09719565860714e-44,3.63973299874267e-41,90.4562145734838
"16355","PGM5P3-AS1",-3.84664843928247,3.20836825362535,-19.0478423220761,1.00878800364807e-43,1.67119489004353e-40,88.9000558977967
"3056","NEK2",4.41476173376403,7.85951829805897,18.9849511364171,1.47342288515841e-43,2.33479871619493e-40,88.5246950303432
"20833","SCN4B",-3.18631333957856,9.89402333618608,-18.8436182119558,3.45782729247832e-43,5.25099889590271e-40,87.6794216324818
"4418","ATOH8",-3.80821261763446,8.37699233343218,-18.8103719012688,4.22765911552786e-43,6.16325056498114e-40,87.4802362357521
"11838","TNXB",-4.68679748933887,11.2054022679721,-18.7820070744047,5.01907276913416e-43,7.03558177476399e-40,87.3101922959353
"30261","AP005264.1",-3.45210981293375,3.26719908407484,-18.7324386598187,6.77569309189665e-43,8.98216254268512e-40,87.0128047076032
"29716","ABCA10",-4.36479213193053,7.92380511742413,-18.7294221445061,6.90063521909629e-43,8.98216254268512e-40,86.994697557608
"20342","PDE2A",-3.17767409427048,10.059691331626,-18.6518650225254,1.10426011435921e-42,1.38778841820468e-39,86.5287762142637
"5435","CAVIN2-AS1",-3.48738300694135,2.60388331829052,-18.5862164020537,1.64490036990445e-42,1.99833462938459e-39,86.1338375252649
"4808","PGM5P4",-3.17547161839733,2.8373810629281,-18.5327944451794,2.27580303957772e-42,2.67561024453063e-39,85.8120782828663
"31992","PPP1R14A",-2.90952153161298,8.42622582370509,-18.5082858260196,2.64160225150015e-42,3.00861986431795e-39,85.6643509967937
"23096","C1QTNF9",-3.54912922447796,4.11314967920009,-18.4412688451414,3.97216672903714e-42,4.38695723049963e-39,85.2600418635761
