,0
sample,0
id,0
disease_type,0
case_id,0
submitter_id,0
primary_site,0
alcohol_history.exposures,1
race.demographic,1
gender.demographic,1
ethnicity.demographic,1
vital_status.demographic,1
age_at_index.demographic,1
days_to_birth.demographic,17
year_of_birth.demographic,4
year_of_death.demographic,1108
primary_site.project,0
project_id.project,0
disease_type.project,0
name.project,0
name.program.project,0
tissue_source_site_id.tissue_source_site,0
code.tissue_source_site,0
name.tissue_source_site,0
project.tissue_source_site,0
bcr_id.tissue_source_site,0
days_to_death.demographic,1052
entity_submitter_id.annotations,1222
notes.annotations,1222
submitter_id.annotations,1222
classification.annotations,1222
entity_id.annotations,1222
created_datetime.annotations,1222
annotation_id.annotations,1222
entity_type.annotations,1222
updated_datetime.annotations,1222
case_id.annotations,1222
state.annotations,1222
category.annotations,1222
status.annotations,1222
case_submitter_id.annotations,1222
synchronous_malignancy.diagnoses,1
ajcc_pathologic_stage.diagnoses,13
days_to_diagnosis.diagnoses,1
last_known_disease_status.diagnoses,1
tissue_or_organ_of_origin.diagnoses,1
days_to_last_follow_up.diagnoses,148
age_at_diagnosis.diagnoses,17
primary_diagnosis.diagnoses,1
prior_malignancy.diagnoses,1
year_of_diagnosis.diagnoses,3
prior_treatment.diagnoses,1
ajcc_staging_system_edition.diagnoses,175
ajcc_pathologic_t.diagnoses,1
morphology.diagnoses,1
ajcc_pathologic_n.diagnoses,1
ajcc_pathologic_m.diagnoses,1
classification_of_tumor.diagnoses,1
icd_10_code.diagnoses,1
site_of_resection_or_biopsy.diagnoses,1
tumor_grade.diagnoses,1
progression_or_recurrence.diagnoses,1
age_at_earliest_diagnosis.diagnoses.xena_derived,17
age_at_earliest_diagnosis_in_years.diagnoses.xena_derived,17
treatment_id.treatments.diagnoses,1
submitter_id.treatments.diagnoses,1
treatment_type.treatments.diagnoses,1
treatment_or_therapy.treatments.diagnoses,1
created_datetime.treatments.diagnoses,1
updated_datetime.treatments.diagnoses,1
state.treatments.diagnoses,1
sample_type_id.samples,0
tumor_descriptor.samples,0
sample_id.samples,0
sample_type.samples,0
composition.samples,1
days_to_collection.samples,2
initial_weight.samples,15
preservation_method.samples,0
pathology_report_uuid.samples,137
oct_embedded.samples,0
specimen_type.samples,0
days_to_sample_procurement.samples,1251
is_ffpe.samples,0
tissue_type.samples,0
annotations.samples,1254
