"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04110","Cell cycle",51,0.682332413568929,4.55000437138148,1e-10,5.4e-09,4.08421052631579e-09,840,"tags=71%, list=14%, signal=61%","9088/995/991/9212/9232/151648/5347/699/10403/983/9133/8318/113130/701/57082/81620/890/9700/157570/7272/990/1870/891/23594/1869/9319/4998/993/4085/1029/9134/898/4173/1111/90381/8317"
"hsa05322","Systemic lupus erythematosus",65,0.536713026032586,3.91917649111885,1e-10,5.4e-09,4.08421052631579e-09,886,"tags=62%, list=15%, signal=53%","8357/8329/8343/8348/8339/3017/8367/8345/8344/8360/8358/8356/8365/8347/3012/8370/8355/8338/8362/8970/8340/8363/440689/2209/3014/8294/8349/8969/8352/8336/8332/85236/8331/941/8341/8337/8968/723790/3015/8334"
"hsa04613","Neutrophil extracellular trap formation",74,0.493059627307021,3.74669101757047,1e-10,5.4e-09,4.08421052631579e-09,886,"tags=54%, list=15%, signal=47%","8357/8329/8343/8348/820/8339/3017/8367/8345/8344/8360/8358/8356/8365/8347/3012/8370/8355/8338/8362/8970/8340/8363/440689/2209/3014/8294/8349/8969/8352/8336/8332/85236/8331/8341/8337/8968/723790/3015/8334"
"hsa05203","Viral carcinogenesis",57,0.539203130340409,3.72013943371156,1e-10,5.4e-09,4.08421052631579e-09,870,"tags=60%, list=15%, signal=51%","991/8343/8348/983/8339/3017/8367/8345/8344/890/8360/8365/8347/1237/8370/8362/8970/8340/3249/8363/440689/8294/90993/3665/8349/85236/1029/148327/9134/898/8341/1111/5366/245972"
"hsa05034","Alcoholism",82,0.416566303201638,3.25141459362255,1e-10,5.4e-09,4.08421052631579e-09,907,"tags=51%, list=15%, signal=44%","8357/8329/8343/8348/51764/8339/3017/8367/8345/8344/8360/8358/8356/8365/8347/3012/8370/8355/8338/8362/8970/8340/8363/440689/3014/8294/90993/8349/8969/8352/8336/8332/85236/8331/148327/8341/8337/8968/723790/3015/8334/2906"
"hsa03082","ATP-dependent chromatin remodeling",24,0.623935397178333,3.14519322387733,5.50732772110337e-08,2.47829747449652e-06,1.87442382086676e-06,1785,"tags=92%, list=30%, signal=64%","8329/3012/8338/3014/8969/8336/8332/8331/8337/723790/3015/8334/317772/29844/8193/8335/1108/55257/85235/9555/10263/10856"
"hsa04114","Oocyte meiosis",36,0.485505935896096,2.88488860956292,9.06476673397617e-07,3.49641002596224e-05,2.64445826525019e-05,714,"tags=47%, list=12%, signal=42%","9088/995/991/9232/151648/5347/699/983/9133/6790/9700/891/286151/4085/9134/898/387778"
"hsa01100","Metabolic pathways",371,-0.290283511987276,-1.88567402403191,1.14832061208157e-06,3.87558206577528e-05,2.93123945715557e-05,1627,"tags=38%, list=27%, signal=29%","5152/2998/2946/1548/290/84803/646625/249/9615/204219/8611/8277/54511/10157/3373/84002/1582/27115/5209/114/11181/847/196883/83401/133121/23127/4882/189/28/116255/1373/256435/212/11343/5009/8613/4337/7173/1583/348158/119548/112817/123876/1346/26290/3158/217/1576/55808/64409/6121/2528/3242/54490/63976/220/4248/8395/5740/230/7368/314/3294/56603/1543/441282/10720/84302/2180/5321/4842/3290/1160/50940/4129/27087/29958/8644/23057/218/9104/5743/5320/26289/270/216/111/2822/5837/11185/316/23743/9365/2938/89869/765/5168/117248/5207/5138/84649/339983/5137/3906/8908/5140/4881/2878/32/83539/54988/8424/5288/8639/6898/443/1638/8708/5959/57678/93432/4128/1036/127/8854/2949/761/2327/124/1645/126/1646/60495/10840/33/150572/5105/2819/762/125"
"hsa03460","Fanconi anemia pathway",15,0.680985287419426,2.87517958760277,2.4833676265107e-06,7.39703215361349e-05,5.59463640468233e-05,1345,"tags=87%, list=23%, signal=67%","29089/116028/146956/5888/83990/2175/641/55215/201254/2177/675/197342/378708"
"hsa04152","AMPK signaling pathway",35,-0.55090278355338,-2.44438875502548,2.73964153837537e-06,7.39703215361349e-05,5.59463640468233e-05,815,"tags=46%, list=14%, signal=40%","1080/9586/10891/3479/5207/5468/3953/32/6517/3991/948/148/5105/1149/9370/3952"
"hsa03320","PPAR signaling pathway",38,-0.536528758316594,-2.44662795012556,4.05918418349841e-06,9.96345208676883e-05,7.53571035022672e-05,781,"tags=42%, list=13%, signal=37%","51129/2180/6258/5468/2173/28965/10580/4023/948/33/364/729359/5105/5346/2167/9370"
"hsa00350","Tyrosine metabolism",19,-0.66987431318311,-2.48166703379981,4.8503356889205e-06,0.000109132553000711,8.25408003202261e-05,1173,"tags=74%, list=20%, signal=59%","7173/3242/314/4129/218/316/8639/6898/1638/4128/127/124/126/125"
"hsa00982","Drug metabolism - cytochrome P450",24,-0.599890135375069,-2.37542794399509,5.69810725985263e-06,0.000118345304627708,8.95087294260251e-05,1053,"tags=58%, list=18%, signal=48%","1576/54490/10720/4129/218/316/2938/4128/127/2949/2327/124/126/125"
"hsa04920","Adipocytokine signaling pathway",26,-0.557057965369103,-2.25713544412305,4.08132539581078e-05,0.000787112754906364,0.000595321147960369,856,"tags=42%, list=14%, signal=36%","5602/2180/10891/6258/3953/32/6517/948/5105/9370/3952"
"hsa04814","Motor proteins",64,0.302703637579767,2.19273235439825,7.9402948915803e-05,0.00142925308048445,0.00108099453260812,700,"tags=33%, list=12%, signal=29%","7138/24137/146909/10112/9928/11004/3833/92558/55083/9493/56992/3832/1062/10381/81930/7137/90990/112714/547/146439/113457"
"hsa04081","Hormone signaling",82,-0.383911764779246,-2.07195695412141,0.000114324175351237,0.00192922045905212,0.00145913750119342,1885,"tags=55%, list=32%, signal=38%","155/6776/23236/4093/8471/150/3061/8660/7068/552/10411/114/5295/196883/4882/2791/2100/54331/1395/53919/4883/1812/185/799/3481/2740/5745/2770/4842/1813/153/111/3479/6751/554/2690/154/3953/4881/3973/5021/5179/148/9370/3952"
"hsa00830","Retinol metabolism",29,-0.531235720441383,-2.24331234466326,0.000146751251256286,0.0022012687688443,0.00166489723647483,1053,"tags=52%, list=18%, signal=43%","1576/6121/54490/220/56603/1543/10720/216/316/5959/127/8854/124/126/125"
"hsa04080","Neuroactive ligand-receptor interaction",140,-0.325437114508232,-1.93772015568426,0.000144382372807448,0.0022012687688443,0.00166489723647483,1320,"tags=39%, list=22%, signal=31%","2892/2908/66004/1906/2565/1395/2897/5733/1812/257313/185/799/1901/9127/2587/2740/5746/5745/8001/2557/6863/1910/1268/3356/1813/1511/2555/153/6344/2890/4922/6751/5737/554/2690/154/10316/117/3953/4889/2568/6869/2564/3973/5021/9340/5179/2893/2904/1908/148/80763/4887/3952"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",25,-0.55235711624179,-2.2186884675785,0.000162323723528858,0.002290568098685,0.00173243747035045,1053,"tags=52%, list=18%, signal=43%","1576/54490/1543/10720/3290/218/2938/127/2949/124/1645/126/125"
"hsa02010","ABC transporters",18,-0.597304899863441,-2.15100898202362,0.000169671711013704,0.002290568098685,0.00173243747035045,1724,"tags=78%, list=29%, signal=55%","23461/154664/368/9429/1080/10060/5243/1672/23460/225/10349/340273/10350/10351"
"hsa04024","cAMP signaling pathway",89,-0.363787199751977,-2.00734971383124,0.000182824044873192,0.00235059486265533,0.00177783782984458,1499,"tags=45%, list=25%, signal=34%","10411/482/64399/114/5295/196883/2892/5727/1906/1395/5733/1812/486/2740/84152/5602/1080/9586/1259/5348/8843/2353/2770/1813/153/111/2890/6751/154/117/338442/5140/4881/3973/5021/3991/2893/2904/1908/477"
"hsa04923","Regulation of lipolysis in adipocytes",32,-0.496604246051559,-2.15889937516071,0.000245626868970952,0.00301451157373441,0.00227998146317534,1423,"tags=53%, list=24%, signal=41%","114/5295/196883/11343/5733/2770/5743/153/111/154/5140/4881/3991/364/5346/2167/63924"
"hsa00620","Pyruvate metabolism",17,-0.610214627395116,-2.16280939268304,0.000297720232766753,0.00349497664552275,0.00264337414905034,261,"tags=35%, list=4%, signal=34%","32/127/124/126/5105/125"
"hsa04082","Neuroactive ligand signaling",72,-0.385433643522973,-2.03161297611102,0.000366501825589932,0.00412314553788673,0.00311848044580907,1775,"tags=56%, list=30%, signal=39%","1139/23236/2903/1128/150/5578/9934/2917/114/196883/2892/2791/54331/2565/2897/6512/1812/9127/8001/2557/6863/2770/2774/3356/1813/2555/153/111/2890/57030/154/64805/2568/6869/2564/6530/5179/2893/2904/148"
"hsa04914","Progesterone-mediated oocyte maturation",31,0.380659162504494,2.14071294356427,0.000503341827913853,0.00543609174146961,0.00411150798380158,504,"tags=35%, list=8%, signal=33%","9088/995/5347/699/983/9133/6790/890/891/993/4085"
