"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","106/2162","233/9373",0.454935622317597,1.97229953190695,8.2290779519989,1.92016453382489e-14,6.6821725777106e-12,4.85094198018919e-12,"1756/8736/25802/477/4629/131873/171024/2273/3679/161176/1301/7111/6711/8082/633/83660/1311/137868/3680/287/4001/7140/23500/3908/825/482/10398/51778/84823/93661/114793/23345/7138/4619/29767/4621/72/7170/1730/2318/2335/6445/1634/1674/7094/8910/27295/81624/9172/3672/25777/11155/56776/7414/3655/7431/57644/23224/478/270/1277/6443/6442/6645/2026/1288/7273/1289/1465/255631/6382/3688/2201/127294/4604/284217/3339/2199/1285/7137/4620/84676/1466/4634/2192/8572/1286/58498/1290/165904/6444/84033/4633/1837/84675/256076/7060/3696/58529/7125/1278/1281/7139/442721/7136/58",106
"hsa04519",NA,NA,"hsa04519","Cadherin signaling","154/2162","404/9373",0.381188118811881,1.65257920334124,7.34172540391841,2.67965352665169e-12,4.66259713637395e-10,3.38482550734951e-10,"6330/2563/1956/2564/10186/6327/22808/5101/117532/4233/51421/56112/154810/1010/28316/8322/6331/2196/55800/64072/23500/79633/56121/54510/56099/56113/10413/55851/5499/1003/56100/8777/6934/7003/60485/2260/7481/121391/28513/26167/29119/5602/56131/2557/2324/1674/283446/56109/5156/1012/56111/2565/56110/5317/9475/1828/1951/259236/56130/56124/56105/27328/56107/83439/7414/26524/3856/1823/7431/11187/2535/8324/51176/2195/3791/56132/56102/3875/57526/56125/2555/126374/166336/22800/7855/3880/25937/56129/3852/5098/8641/3861/56103/8688/8642/84152/56108/64405/10518/5881/2568/54798/7480/1002/1000/1008/5603/147798/2560/56101/27253/117531/26025/56123/8313/1006/7477/375323/57717/65217/1825/147409/120114/8326/3857/390792/10451/125115/9620/56106/7484/56145/6932/2558/2562/9119/1830/56139/2567/1013/3872/338785/2064/7475/374454/1005/3848/3866/3881/3854/286887/10083/999/3868",154
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","140/2162","370/9373",0.378378378378378,1.64039802985224,6.88182240916547,5.14970854708835e-11,5.97366191462248e-09,4.33659667123229e-09,"148/2904/2563/3953/154/117/2690/2914/3952/2564/554/1910/4887/6751/10316/9340/2908/80763/6343/5179/6344/3973/7068/7425/6869/1901/2918/5737/2893/1395/8973/5745/3061/3356/1908/10161/5021/66004/7067/5734/3352/9127/5746/257313/1268/2557/1812/1906/1813/7252/2565/84634/153/1511/2587/1139/552/2894/4889/799/79924/7432/2906/79627/9934/2890/283869/5729/150/133/718/4828/2555/9170/2897/5733/10874/1907/3360/2892/2903/2917/6863/344838/7433/3814/53829/27346/1902/4142/2740/4922/151/7253/51289/51052/185/1081/5540/2568/155/7349/1134/2560/55584/147/10911/2796/9248/2837/79957/5031/57105/59350/4829/1131/10203/1135/5697/5732/2642/2558/2562/10888/2901/4923/2567/1128/8001/6752/2847/5645/6870/7434/5644/1141/2151/2902/7200/4886",140
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","82/2162","191/9373",0.429319371727749,1.86124443626466,6.58446821775158,6.35555293874759e-10,5.14329957960775e-08,3.73379279826334e-08,"2904/4915/2770/3014/8357/4128/9586/2791/111/3015/8329/3017/9555/8356/2354/8348/51764/8294/9759/5499/8338/8344/54331/4129/8340/8360/8358/8336/90993/8365/8363/85236/1812/8362/1813/8347/8343/8370/8331/53358/8349/8367/148327/8341/8332/2906/8970/8352/8345/8339/8334/2788/2903/8337/317772/55970/440689/3012/8968/8342/723790/84152/8364/8335/627/8366/8355/554313/8346/2785/5569/8969/94235/653604/9734/85235/8353/8350/810/6571/399694/2902",82
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","115/2162","298/9373",0.385906040268456,1.6730329858632,6.46498322042828,7.38979824656286e-10,5.14329957960775e-08,3.73379279826334e-08,"3977/85480/3953/2662/130399/6358/2690/2920/3952/8793/7048/3590/353500/651/3624/90865/6356/6360/6387/6376/8784/1271/654/650/4352/1896/2921/3579/6369/4838/2660/653/56477/84957/50615/6366/4804/943/29949/3570/27190/92/3604/285613/1489/53342/3459/8200/6368/1440/10913/94/3554/3627/51554/3589/1435/3569/1237/6373/9547/7292/6354/7293/1524/57007/146433/60401/5473/58985/3625/27242/8792/7133/6374/658/246778/282617/9518/6357/6372/282616/5196/338376/51330/5197/2919/8807/282618/7852/5008/1270/59067/50604/268/3574/11009/8809/151449/3581/10563/2056/3592/3593/8808/4283/9173/4050/53832/4049/959/6355/6364/608/3575",115
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","65/2162","143/9373",0.454545454545455,1.97060802287444,6.40408786699571,2.38565795010807e-09,1.38368161106268e-07,1.00448755794024e-07,"2904/3014/8357/3015/8329/3017/9555/8356/8348/6628/1991/8294/8338/8344/8340/8360/8358/8336/8365/8363/85236/8362/2209/8347/8343/8370/8331/1511/730/8349/8367/8341/941/729/8332/8970/8352/718/8345/8339/8334/2903/8337/317772/440689/3012/8968/8342/723790/8364/8335/8366/8355/554313/8346/715/716/8969/653604/2214/85235/8353/8350/959/721",65
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","100/2162","254/9373",0.393700787401575,1.70682584658416,6.25319410027415,2.80441201856653e-09,1.39419340351593e-07,1.01211862324206e-07,"2277/148/2904/2774/4915/154/1956/6263/1910/5137/2246/10345/4233/3973/196883/6869/80310/2247/845/5737/3706/4638/5260/5261/4916/89869/4842/3356/5578/5021/2260/9127/2324/85366/1812/8536/5156/2252/5136/153/23236/1139/552/2255/3270/2906/2254/3082/5153/3791/5336/114/5733/109/493/3360/2903/340156/3709/8822/6261/4486/3708/4773/8913/444/2250/56034/5154/185/489/155/147/7852/6547/51196/5350/2065/5979/55283/57105/1131/2261/8823/4923/1950/26281/1128/7125/6262/491/2064/2264/810/6870/776/7039/952/8912/2902",100
"hsa04518",NA,NA,"hsa04518","Integrin signaling","67/2162","154/9373",0.435064935064935,1.88615339332268,6.07118678880194,1.23234103023519e-08,5.36068348152308e-07,3.89160325337429e-07,"2277/3381/7148/131873/158326/55679/1956/3679/5649/4233/3479/83660/1311/5295/3680/80310/7450/10979/3908/55742/3384/3909/9459/2335/3914/894/2324/7094/5156/10000/3672/3915/7414/3655/63923/3082/1277/3791/718/6696/1288/3611/3910/1758/55612/3688/56034/5154/284217/1285/5881/80144/10319/1286/7143/3918/255743/256076/7060/3696/1950/1278/2064/2266/999/2243/2244",67
"hsa04517",NA,NA,"hsa04517","IgSF CAM signaling","111/2162","299/9373",0.37123745819398,1.60943972971886,5.86425985549565,1.86212618596061e-08,7.20022125238102e-07,5.22702087287188e-07,"4629/58494/10580/64221/5063/2308/6711/54538/145581/6586/5295/287/3737/2037/79827/4638/4916/342035/55243/3742/57863/4684/22871/10398/5803/91584/3736/25945/3384/30835/8777/9223/5578/347733/7225/3739/2260/10298/5819/10381/78999/9353/5602/85366/84631/219699/57502/9693/7430/10000/84617/5375/83700/57144/7414/941/94030/5777/11141/80852/117178/54413/84790/3791/4359/5336/5802/8829/81928/90952/8541/22865/2534/340156/4155/26047/10332/80059/253559/1272/23114/3688/84612/4133/1000/347688/26050/5603/8499/117157/4868/1630/9414/26280/139065/10451/113457/57524/5588/81607/112714/3897/6900/90249/201633/137970/4099/2266/999/2243/2244",111
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","89/2162","226/9373",0.393805309734513,1.70727898618945,5.89320938865788,2.07206924286379e-08,7.21080096516598e-07,5.23470124512957e-07,"4881/2904/477/154/117/5348/2770/3991/9586/6751/338442/111/3973/196883/5295/486/10411/8843/5727/610/2893/64411/5465/1395/482/10398/5499/5337/1908/5021/5140/2353/3352/90993/1080/5602/1259/1812/1906/1813/7252/153/9475/10000/3725/7432/148327/2906/2890/64399/478/114/22800/5733/109/493/1907/3360/2892/2903/112/2740/7253/3776/84152/5139/2735/1081/627/7137/489/5881/51196/5350/268/64208/27198/10451/56670/5732/1128/6262/6752/491/810/7434/776/2902/4886",89
