Gene,p_value,log2FC,adj_p_value
AP006222.1,1.6674492551641e-06,-1.1078324864238347,5.710550057879115e-06
FAM87B,1.5359425370987257e-14,-1.46648511593505,1.6625403729659085e-13
AL645608.6,1.0941597274900591e-06,1.308963122897416,3.8516781781725535e-06
AL645608.2,4.268532653092727e-06,1.4424237026292621,1.3829461565717188e-05
LINC02593,3.612509262010343e-05,1.4462889894712605,0.00010090727619247712
SAMD11,5.610781146904166e-09,1.9807480445602517,2.7328025354661572e-08
PLEKHN1,1.4794331816168027e-09,1.538491140347988,7.839940159585112e-09
HES4,7.43895699215569e-12,1.312957770279385,5.522208097234509e-11
ISG15,1.5346011508687672e-21,2.8759179028179,5.914141347537205e-20
AL390719.1,6.936580325775779e-12,1.9402796703590042,5.1797327140858014e-11
AL645608.8,3.011845785053658e-07,1.2567912043858351,1.151414628677927e-06
RNF223,3.376750118236211e-13,2.3825141366683456,3.0000242547050966e-12
AL390719.2,1.6853386751671425e-07,1.6179980818971647,6.697850680302241e-07
TTLL10-AS1,9.474464256141702e-18,-2.1371609655562134,1.741076464032561e-16
TTLL10,2.737555069512633e-14,-1.639099533617634,2.85940873421736e-13
TNFRSF18,8.785941297073822e-22,2.8273406124423444,3.581902483157954e-20
TNFRSF4,7.597246474082468e-13,1.1421973405478072,6.389920341092591e-12
PUSL1,1.6336467438620882e-21,1.3062125438446586,6.249771391619466e-20
TAS1R3,6.425974330967072e-09,1.4327158722047892,3.103511244721333e-08
ANKRD65,6.727409105030676e-15,-1.6159068324213148,7.681455907263547e-14
FNDC10,3.540140295082348e-19,1.9285990061517069,8.409469987823832e-18
AL691432.4,2.8665564606256886e-11,1.6563717465953105,1.9602329304074962e-10
AL391845.2,2.0226433092192872e-21,2.479518590243206,7.562250019088971e-20
GABRD,9.214345697303687e-26,3.2974293273175217,3.2302547058510225e-23
PRKCZ,4.054247344003222e-07,1.17366345067426,1.5191689764865164e-06
PLCH2,3.2226304341075623e-09,-1.2611034221463004,1.6290652337051167e-08
AL139246.5,1.3350257107886867e-15,2.039394373114395,1.703597162075833e-14
PRXL2B,2.1794132159352222e-13,1.001762925496374,1.9885111091382946e-12
TTC34,4.506108919680699e-06,-1.1558443843587556,1.4543192946228105e-05
PRDM16-DT,5.186193458551842e-21,-2.5542603137794786,1.7537668843677898e-19
PRDM16,3.2130635854570723e-21,-2.317241952379125,1.139434178235966e-19
AL590438.1,6.60865437368967e-10,1.1493381319839586,3.67434198104995e-09
AL354743.2,1.6938522634786233e-11,1.3185106449700092,1.1973303588463863e-10
AL354743.1,4.1681582294282865e-07,-1.083204280551762,1.5586969271461979e-06
ARHGEF16,7.000226622525287e-13,1.1746574016723041,5.921281617254276e-12
TP73-AS3,1.3168683272885473e-10,1.2440270319179985,8.141539508280516e-10
CCDC27,3.764331620451005e-09,-1.2343236171900143,1.884604042207024e-08
SMIM1,6.091313722690176e-10,1.2309262214591703,3.4041967822512577e-09
LINC01777,1.9075147981928944e-07,-1.020235777646548,7.519277213442723e-07
AJAP1,9.449761515726802e-12,-1.2960652193268754,6.915947200901195e-11
Z98259.3,6.563851732198709e-10,-1.3131403915490216,3.6499680003713683e-09
LINC00337,1.3186159877727105e-17,2.0147485080680343,2.3646430833761193e-16
ACOT7,1.1560295590080045e-18,1.2897508590375857,2.4905269350323755e-17
HES2,4.0697651876994015e-06,1.4958390800417263,1.3225078225562173e-05
ESPN,3.664214884112492e-11,1.9978852936352265,2.4702583634737556e-10
AL031848.1,2.1589144115319975e-05,1.2294815356563902,6.265649381023975e-05
TAS1R1,3.152506078612705e-10,-1.2254832404359894,1.8388728664928014e-09
KLHL21,6.816335870467895e-22,-1.426532279157982,3.3337385041666395e-20
AL359881.3,1.4558694856665717e-07,-1.180366860600435,5.83611355843943e-07
PER3,2.1183709244747767e-11,-1.1925495575763634,1.4754057596721667e-10
Z98884.1,1.0136348198238835e-07,-1.0599179760832005,4.1615615356108146e-07
UTS2,4.3961223106215676e-08,1.4046330284920845,1.9013216443129069e-07
TNFRSF9,2.129393863117561e-12,2.147445882619315,1.6872105266049056e-11
ERRFI1,1.0984464082015312e-11,-1.1517818711746255,7.962212299373166e-11
CA6,3.269369246712755e-14,-3.379711422832071,3.377634774959053e-13
H6PD,2.7023798546835212e-17,-1.0847201664922395,4.571234239226604e-16
AL928921.1,1.0174170734337137e-10,-1.7113345498840768,6.390324086107541e-10
AL954705.1,4.94666652141234e-13,-1.333414681572565,4.293080839412717e-12
RBP7,3.4061575565948173e-20,-2.4024138527927708,9.7435658080417e-19
AL139424.3,7.762146880605029e-13,-1.129514112680544,6.524268773991009e-12
CENPS,4.139006514224822e-17,1.218607127603481,6.783242437029464e-16
C1orf127,8.504242632097601e-12,1.292254239697285,6.273659630854393e-11
MASP2,2.118672396803514e-17,-2.054465455729237,3.6573654674811437e-16
AL109811.2,8.202611582062278e-12,-1.2507584044244169,6.057042524059791e-11
MTOR-AS1,1.4579260027026343e-13,-1.3113523959716171,1.3660932564660952e-12
ANGPTL7,8.891437605563915e-25,-5.678929377435278,1.5237751487471843e-22
AL031291.1,4.5896225314483705e-20,-2.539334752345361,1.2847550905844464e-18
DISP3,1.2407739864450636e-05,1.41434726471984,3.731385895078636e-05
