"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"24389","LINC00377",-3.78700620577792,2.62455579080939,-27.4975581311899,7.08349895224881e-64,2.67557922424342e-59,134.713947739923
"35818","MMP11",5.64578286454019,10.8203327924137,22.9413003514273,1.75123808214483e-53,3.30738824193873e-49,111.131602574385
"20406","PAMR1",-3.94317970865666,9.82586062141564,-22.1884991837627,1.16969024835809e-51,1.47271800203272e-47,106.980382054357
"36577","VEGFD",-5.97154804585987,7.61990437655653,-21.9823698728353,3.7422051545847e-51,3.53376432747433e-47,105.83090128666
"9400","LINC02511",-4.60724246259168,3.98883330050234,-21.2828779919898,2.01542539041954e-49,1.52253295693854e-45,101.889190629368
"30609","CA4",-6.77137510329604,6.35050695439593,-21.1666009921309,3.93318677878995e-49,2.47607218347424e-45,101.227833832773
"15093","CPA1",-4.61698279288451,4.18972518733889,-20.8308632455122,2.73724589738577e-48,1.47701788622936e-44,99.3084778377507
"9240","COL25A1",-3.62071548161716,6.48171211139056,-20.7339765669382,4.80396745118054e-48,2.22766460293373e-44,98.7519053078652
"6490","LRRC3B",-4.52160590947647,4.51452108619631,-20.7168155083092,5.30789511447727e-48,2.22766460293373e-44,98.6531971722987
"5637","CAVIN2",-4.65578281639525,10.3303121492328,-20.3535567271878,4.42270359023447e-47,1.58436348137187e-43,96.5549680619085
"17456","PGM5-AS1",-4.15584971588572,3.46392374950606,-20.3463301421098,4.61399933683431e-47,1.58436348137187e-43,96.5130561032393
"30792","LINC01497",-3.75241641955139,2.69440207848009,-20.3166790801624,5.48985435224174e-47,1.72802315494063e-43,96.3410197764625
"33481","HIF3A",-5.07368176912604,6.8195538779562,-20.2460984919456,8.30671504197533e-47,2.41354800434994e-43,95.9310609411101
"30222","CD300LG",-6.77814679801787,8.40596866901601,-19.925495717228,5.49308068842896e-46,1.48203316973813e-42,94.0609615435312
"9092","IBSP",5.06997236454115,3.29961520435571,19.8920853160289,6.69306449298601e-46,1.68540288019378e-42,93.8653325392781
"13096","COL10A1",6.45881664818002,8.5610822938943,19.6133579504952,3.49781180115484e-45,8.25745920957629e-42,92.227856297985
"35182","ADAMTS5",-3.55089873132204,10.8917419106459,-19.5076455326054,6.56521046288352e-45,1.45871252708257e-41,91.6042870331703
"36684","DMD",-3.84261425866512,10.9050784797693,-19.4594098402221,8.75422336267696e-45,1.83702513808352e-41,91.3192983472336
"19466","HPSE2",-4.97678355944857,6.37785344759555,-19.4363231966609,1.00478609710098e-44,1.99751476103675e-41,91.1827950107922
"27587","PKMYT1",4.15555187756658,7.30546078326594,19.4245427038337,1.07802112601617e-44,2.03595069859414e-41,91.113115715495
"30782","ABCA10",-4.41523843906296,7.89858196385791,-19.0898249724034,8.01245276308353e-44,1.44117317031996e-40,89.1262147083318
